구분,Customer,Customer2,Location,Fab,IDM/Foundry,Country,Region,Origin,D/R,Device1,Device2,Device3,Grade,Grade1,Grade2,Team,사업,22.1Q,22.2Q,22.3Q,22.4Q,23.1Q,23.2Q,23.3Q,23.4Q,24.1Q,24.2Q,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,26.1Q,26.2Q,26.3Q,26.4Q,27.1Q,27.2Q,27.3Q,27.4Q,28.1Q,28.2Q,28.3Q,28.4Q
거래고객,On Semi,On Semi,NY East Fishkill,Fab 10,IDM,USA,USA,USA,65/45nm,Analog,RF,Analog,PW,SOI,SOI,미국법인,비메모리,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거래고객,Micron,Micron,Utah,Fab 2,IDM,USA,USA,USA,1Xnm,NAND,NAND,Memory,PW,Prime,Polished,미국법인,메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거래고객,Micron,Micron,Boise,Fab 4,IDM,USA,USA,USA,2Xnm,DRAM,DRAM,Memory,PW,Prime,Polished,미국법인,메모리,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
거래고객,Micron,Micron,Virginia,Fab 6,IDM,USA,USA,USA,2Xnm,DRAM,DRAM,Memory,PW,Prime,Polished,미국법인,메모리,20,20,30,30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
거래고객,Micron,Micron,Virginia,Fab 6,IDM,USA,USA,USA,1Xnm,NAND,NAND,Memory,PW,Prime,Polished,미국법인,메모리,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
거래고객,Micron,Micron,Virginia,Fab 6,IDM,USA,USA,USA,45nm,NOR,NOR,Memory,EPI,EPI,Epitaxial,미국법인,메모리,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
거래고객,Micron,Micron,Boise,New,IDM,USA,USA,USA,?,DRAM,DRAM,Memory,PW,Prime,Polished,미국법인,메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,10,10,10,10,10,10,10,10
거래고객,Micron,Micron,New York,New,IDM,USA,USA,USA,?,DRAM,DRAM,Memory,PW,Prime,Polished,미국법인,메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
거래고객,SEC,SAS,Austin,S2(SAS),Foundry,USA,USA,Korea,14/28/32nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,LC영업,비메모리,93,93,93,93,96,96,100,100,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
거래고객,SEC,SAS,Austin,SAS,Foundry,USA,USA,Korea,65nm,Logic,Logic,Logic,PW,Prime,Polished,LC영업,비메모리,15,15,15,15,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
